CPU_Total,CPU_P1,CPU_P2,CPU_P3,CPU_P4,Disk_wrVolume,Disk_wrSpeed,Disk_wraccessVolume,Disk_wraccessSpeed,Load_1min,Load_5min,Load_15min,Mem_Avail%,Mem_Avail,Mem_freePhysical%,Mem_freePhysical,Mem_freeSwap%,Mem_freeSwap,Mem_freeTotal%,Mem_freeTotal,Ping_Time(ms),Ping_Min(ms),Ping_Max(ms),Ping_PacketLoss,Traffic_totalVolume,Traffic_totalSpeed,Traffic_inVolume,Traffic_inSpeed,Traffic_outVolume,Traffic_outSpeed,Class
13.3333,18,11,9,15.1667,423095.9894,7055.1274,42.5865,0.7101,0.844,0.712,0.468,86,7040834219,95,7786001749,100,104853504,95,7890855253,1087.6333,613.1667,1984.5,0,3299111.175,55012.6926,2615607.2,43615.261,683503.9745,11397.4316,TVMwL
13,16.5,11.1667,13.1667,11.1667,325198.0751,5423.5836,35.9797,0.6001,0.85,0.7367,0.4917,86,7040284672,95,7785533440,100,104853504,95,7890386944,1022.5333,425.5,2391.8333,0,3494439.906,58279.5181,2747945.143,45829.6388,746494.7632,12449.8793,TVMwL
13.1667,16.8333,13.3333,9.6667,12.8333,318158.5119,5304.41,37.8435,0.6309,0.9786,0.8,0.5314,86,7040069632,95,7785398272,100,104853504,95,7890251776,897.1714,12.1429,2259.5714,0,3362734.987,56064.2712,2641012.176,44031.5468,721722.8108,12032.7244,TVMwL
12.5,16.6667,10.5,11.5,11.8333,283578.267,4729.4574,32.9115,0.5489,0.7867,0.7833,0.545,86,7039639552,95,7785071275,100,104853504,95,7889924779,1080.72,158.2,2103.8,0,3339402.716,55684.5542,2619926.724,43687.289,719475.9926,11997.2652,TVMwL
12.5,17.5,10.1667,11.1667,11.3333,282274.4603,4707.7128,32.2617,0.5381,0.6967,0.7567,0.5517,86,7039596544,95,7785112235,100,104853504,95,7889965739,875.8286,336,1737.5714,0,3499783.338,58368.6347,2712105.632,45231.9151,787677.706,13136.7196,TVMwL
13.3333,17.6667,11.3333,11.5,12.8333,291618.6754,4863.5536,34.1473,0.5695,0.676,0.738,0.554,86,7039643648,95,7785230336,100,104853504,95,7890083840,1101.44,527.2,1899.2,0,3506097.9,58454.4498,2750306.989,45853.7344,755790.9113,12600.7154,TVMwL
13.1667,16.6667,13.1667,7.6667,14.6667,306787.152,5115.677,33.7766,0.5632,0.66,0.7317,0.56,86,7039855275,95,7785562795,100,104853504,95,7890416299,978.4,77.8333,2388.5,0,3396752.866,56650.3146,2689602.404,44856.6111,707150.4618,11793.7035,TVMwL
12.5,18.5,8,7.8333,16,292102.18,4869.993,33.2107,0.5537,0.6183,0.705,0.56,86,7041114112,95,7786918571,100,104853504,95,7891772075,1373.4333,773.5,2147.6667,0,3507789.761,58482.6569,2753002.03,45898.6667,754787.7317,12583.9902,TVMwL
13.8333,14.6667,14.8333,11.5,14.1667,317543.9459,5295.9297,34.2803,0.5717,0.7283,0.7133,0.5717,86,7039995904,95,7786037248,100,104853504,95,7890890752,1212.6,778,1739.8333,0,3580907.001,59711.6392,2794748.539,46602.4435,786158.4623,13109.1956,TVMwL
13.8333,14,21.6667,11.6667,8.3333,503105.8147,8390.6907,66.2531,1.105,0.73,0.7233,0.585,86,7038275584,95,7784247979,100,104853504,95,7889101483,1402.8333,919.3333,1866.1667,0,3487788.464,58158.8872,2743668.854,45750.6896,744119.6097,12408.1976,TVMwL
